#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.Carrier
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -45.7584862
#  Maximum: -31.2580082
#  Trials: 320
#  Mean: -39.6985366
# 
#  Variance: 12.3054044
#  Relative variance: 0.0078081
#  Coefficient of variation: 0.0883636
#  Standard deviation: 3.5079060
#  Relative standard deviation: -0.0883636
# 
#  Skewness: 0.3148729
# 
#  2nd moment: 1588.2407561
#  3rd moment: -64011.2018083
# 
#  Sum of all values: -12703.5317035
#  (Sum of all values)^2: 508237.0419570
#  (Sum of all values)^3: -20483584.5786638
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -200
#  Right border of x-axis: 200
#  Resolution of x-axis: 400
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -45.8000000
#  P02: -45.6000000
#  P03: -45.4000000
#  P04: -45.2000000
#  P05: -45.0000000
#  P06: -44.8769231
#  P07: -44.7538462
#  P08: -44.6307692
#  P09: -44.5076923
#  P10: -44.3846154
#  P11: -44.2615385
#  P12: -44.1384615
#  P13: -44.0153846
#  P14: -43.8526316
#  P15: -43.6842105
#  P16: -43.5157895
#  P17: -43.3473684
#  P18: -43.1789474
#  P19: -43.0105263
#  P20: -42.8846154
#  P21: -42.7615385
#  P22: -42.6384615
#  P23: -42.5153846
#  P24: -42.3923077
#  P25: -42.2692308
#  P26: -42.1461538
#  P27: -42.0230769
#  P28: -41.9380952
#  P29: -41.8619048
#  P30: -41.7857143
#  P31: -41.7095238
#  P32: -41.6333333
#  P33: -41.5571429
#  P34: -41.4809524
#  P35: -41.4047619
#  P36: -41.3285714
#  P37: -41.2523810
#  P38: -41.1761905
#  P39: -41.1000000
#  P40: -41.0238095
#  P41: -40.9153846
#  P42: -40.7923077
#  P43: -40.6692308
#  P44: -40.5461538
#  P45: -40.4230769
#  P46: -40.3000000
#  P47: -40.1769231
#  P48: -40.0538462
#  P49: -39.9550000
#  P50: -39.8750000
#  P51: -39.7950000
#  P52: -39.7150000
#  P53: -39.6350000
#  P54: -39.5550000
#  P55: -39.4750000
#  P56: -39.3950000
#  P57: -39.3150000
#  P58: -39.2350000
#  P59: -39.1550000
#  P60: -39.0750000
#  P61: -38.9948718
#  P62: -38.9128205
#  P63: -38.8307692
#  P64: -38.7487179
#  P65: -38.6666667
#  P66: -38.5846154
#  P67: -38.5025641
#  P68: -38.4205128
#  P69: -38.3384615
#  P70: -38.2564103
#  P71: -38.1743590
#  P72: -38.0923077
#  P73: -38.0102564
#  P74: -37.8352941
#  P75: -37.6470588
#  P76: -37.4588235
#  P77: -37.2705882
#  P78: -37.0823529
#  P79: -36.8500000
#  P80: -36.5833333
#  P81: -36.3166667
#  P82: -36.0500000
#  P83: -35.7636364
#  P84: -35.4727273
#  P85: -35.1818182
#  P86: -34.9428571
#  P87: -34.7904762
#  P88: -34.6380952
#  P89: -34.4857143
#  P90: -34.3333333
#  P91: -34.1809524
#  P92: -34.0285714
#  P93: -33.7833333
#  P94: -33.5166667
#  P95: -33.2500000
#  P96: -32.9800000
#  P97: -32.6600000
#  P98: -32.3400000
#  P99: -32.0200000
#  P100: -31.2580082
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
188.0000000         1.0000000       0.0000000       0.0000000   388
189.0000000         1.0000000       0.0000000       0.0000000   389
190.0000000         1.0000000       0.0000000       0.0000000   390
191.0000000         1.0000000       0.0000000       0.0000000   391
192.0000000         1.0000000       0.0000000       0.0000000   392
193.0000000         1.0000000       0.0000000       0.0000000   393
194.0000000         1.0000000       0.0000000       0.0000000   394
195.0000000         1.0000000       0.0000000       0.0000000   395
196.0000000         1.0000000       0.0000000       0.0000000   396
197.0000000         1.0000000       0.0000000       0.0000000   397
198.0000000         1.0000000       0.0000000       0.0000000   398
199.0000000         1.0000000       0.0000000       0.0000000   399
200.0000000         1.0000000       0.0000000       0.0000000   400
# -----------------------------------------------------------
