#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.Carrier
#  Description: Center Cell UL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -60.7053151
#  Maximum: -58.1913048
#  Trials: 69
#  Mean: -58.8835685
# 
#  Variance: 1.2796750
#  Relative variance: 0.0003691
#  Coefficient of variation: 0.0192113
#  Standard deviation: 1.1312272
#  Relative standard deviation: -0.0192113
# 
#  Skewness: -0.9839876
# 
#  2nd moment: 3468.5357654
#  3rd moment: -204389.7072252
# 
#  Sum of all values: -4062.9662248
#  (Sum of all values)^2: 239328.9678097
#  (Sum of all values)^3: -14102889.7985420
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -200
#  Right border of x-axis: 200
#  Resolution of x-axis: 400
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -60.9636842
#  P02: -60.9273684
#  P03: -60.8910526
#  P04: -60.8547368
#  P05: -60.8184211
#  P06: -60.7821053
#  P07: -60.7457895
#  P08: -60.7094737
#  P09: -60.6731579
#  P10: -60.6368421
#  P11: -60.6005263
#  P12: -60.5642105
#  P13: -60.5278947
#  P14: -60.4915789
#  P15: -60.4552632
#  P16: -60.4189474
#  P17: -60.3826316
#  P18: -60.3463158
#  P19: -60.3100000
#  P20: -60.2736842
#  P21: -60.2373684
#  P22: -60.2010526
#  P23: -60.1647368
#  P24: -60.1284211
#  P25: -60.0921053
#  P26: -60.0557895
#  P27: -60.0194737
#  P28: -58.9948244
#  P29: -58.9836644
#  P30: -58.9725044
#  P31: -58.9613444
#  P32: -58.9501844
#  P33: -58.9390244
#  P34: -58.9278644
#  P35: -58.9167044
#  P36: -58.9055444
#  P37: -58.8943844
#  P38: -58.8832244
#  P39: -58.8720644
#  P40: -58.8609044
#  P41: -58.8497444
#  P42: -58.8385844
#  P43: -58.8274244
#  P44: -58.8162644
#  P45: -58.8051045
#  P46: -58.7939445
#  P47: -58.7827845
#  P48: -58.7716245
#  P49: -58.7604645
#  P50: -58.7493045
#  P51: -58.7381445
#  P52: -58.7269845
#  P53: -58.7158245
#  P54: -58.7046645
#  P55: -58.6935045
#  P56: -58.6823445
#  P57: -58.6711845
#  P58: -58.6600245
#  P59: -58.6488645
#  P60: -58.6377045
#  P61: -58.6265445
#  P62: -58.6153846
#  P63: -58.6042246
#  P64: -58.5930646
#  P65: -58.5819046
#  P66: -58.5707446
#  P67: -58.5595846
#  P68: -58.5484246
#  P69: -58.5372646
#  P70: -58.5261046
#  P71: -58.5149446
#  P72: -58.5037846
#  P73: -58.4926246
#  P74: -58.4814646
#  P75: -58.4703046
#  P76: -58.4591446
#  P77: -58.4479846
#  P78: -58.4368246
#  P79: -58.4256647
#  P80: -58.4145047
#  P81: -58.4033447
#  P82: -58.3921847
#  P83: -58.3810247
#  P84: -58.3698647
#  P85: -58.3587047
#  P86: -58.3475447
#  P87: -58.3363847
#  P88: -58.3252247
#  P89: -58.3140647
#  P90: -58.3029047
#  P91: -58.2917447
#  P92: -58.2805847
#  P93: -58.2694247
#  P94: -58.2582647
#  P95: -58.2471047
#  P96: -58.2359448
#  P97: -58.2247848
#  P98: -58.2136248
#  P99: -58.2024648
#  P100: -58.1913048
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
188.0000000         1.0000000       0.0000000       0.0000000   388
189.0000000         1.0000000       0.0000000       0.0000000   389
190.0000000         1.0000000       0.0000000       0.0000000   390
191.0000000         1.0000000       0.0000000       0.0000000   391
192.0000000         1.0000000       0.0000000       0.0000000   392
193.0000000         1.0000000       0.0000000       0.0000000   393
194.0000000         1.0000000       0.0000000       0.0000000   394
195.0000000         1.0000000       0.0000000       0.0000000   395
196.0000000         1.0000000       0.0000000       0.0000000   396
197.0000000         1.0000000       0.0000000       0.0000000   397
198.0000000         1.0000000       0.0000000       0.0000000   398
199.0000000         1.0000000       0.0000000       0.0000000   399
200.0000000         1.0000000       0.0000000       0.0000000   400
# -----------------------------------------------------------
